"#","RefDes","Value","Name","Part","Quantity"
"1","C1","","CAP_0402","Part 1","1"
"2","C2","","CAP_0402","Part 1","1"
"3","C3","","CKCL44/CL21B104 2x1.25","Part 1","1"
"4","C4","","CKCL44/CL21B104 2x1.25","Part 1","1"
"5","C5","","CKCL44/CL21B104 2x1.25","Part 1","1"
"6","C6","","CAP_0402","Part 1","1"
"7","C7","10uF","CAP_0603","Part 1","1"
"8","C8","1uF","CAP_0402","GRM155R61A105KE15D","1"
"9","C9","","CAP_0402","Part 1","1"
"10","C10","","CAP_0402","Part 1","1"
"11","C11","","CAP_0402","Part 1","1"
"12","C12","","CAP_0402","Part 1","1"
"13","C13","","CAP_0402","Part 1","1"
"14","C14","","CAP_0402","Part 1","1"
"15","C15","","CAP_0402","Part 1","1"
"16","C16","","CAP_0402","Part 1","1"
"17","C17","","CAP_0402","Part 1","1"
"18","IN","","2x4T/2.54rev","Part 1","1"
"19","OUT","","2x4T/2.54rev","Part 1","1"
"20","Power","","2x2T/2.54rev","Part 1","1"
"21","Power2","","2x2T/2.54","Part 1","1"
"22","R1","","EXB(2/U)8(V)","Part 1","1"
"23","R2","","EXB(2/U)8(V)","Part 1","1"
"24","R3","","EXB(2/U)8(V)","Part 1","1"
"25","R4","","EXB(2/U)8(V)","Part 1","1"
"26","R5","","EXB(2/U)8(V)","Part 1","1"
"27","R6","","EXB(2/U)8(V)","Part 1","1"
"28","U1","","TSV854IQ4T","TSX564IQ4T or TSV854IQ4T","1"
"","","","","","28"
